"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tutu Atwell","LAR","20.6","300.8","1.1","7.0","31.7","0.4","0.4","51.7"
"Chris Moore","TEN","24.1","263.2","1.0","1.2","3.2","0.0","0.0","44.9"
"Braxton Berrios","MIA","20.1","250.4","0.9","2.3","25.6","0.4","0.3","44.9"
"Quez Watkins","PHI","17.6","292.0","1.2","0.8","1.2","0.0","0.2","44.7"
"Jauan Jennings","SF","19.9","257.8","1.1","0.0","0.2","0.0","0.0","42.1"
"Tank Dell","HOU","16.4","290.8","0.7","0.8","4.9","0.1","0.3","41.4"
"Marquez Callaway","DEN","20.9","224.6","1.3","0.0","0.3","0.0","0.0","41.0"
"Olamide Zaccheaus","PHI","19.5","244.0","1.2","0.8","2.7","0.0","0.4","40.7"
"Amari Rodgers","IND","21.0","218.1","1.1","0.3","8.5","0.0","0.1","39.7"
"Noah Brown","HOU","21.2","235.8","0.9","0.1","0.5","0.0","0.1","39.4"
"Demarcus Robinson","LAR","21.9","226.8","1.0","0.0","0.2","0.0","0.1","39.2"
"Kalif Raymond","DET","16.8","205.4","1.1","0.8","19.6","0.2","0.1","38.3"
"Marquise Goodwin","CLE","15.8","210.4","1.4","1.2","6.0","0.0","0.0","38.2"
"Samori Toure","GB","19.6","214.2","1.1","0.4","3.4","0.0","0.1","37.9"
"Charlie Jones","CIN","17.9","226.1","1.1","0.9","7.0","0.0","0.7","37.6"
"Randall Cobb","NYJ","19.9","199.2","1.1","0.1","0.6","0.0","0.1","36.5"
"Cole Beasley","NYG","17.7","196.8","1.3","0.0","0.5","0.0","0.0","36.2"
"Michael Wilson","ARI","15.1","239.4","0.6","1.2","10.1","0.1","0.1","36.2"
"Cedrick Wilson Jr.","MIA","19.3","203.1","1.0","0.4","0.8","0.0","0.0","35.8"
"Cade Johnson","SEA","16.5","191.1","1.2","0.0","2.4","0.0","0.0","35.0"
"Jalen Guyton","LAC","15.8","201.4","0.9","1.2","5.7","0.0","0.0","34.0"
"Devin Duvernay","BAL","9.8","199.3","0.6","3.8","41.1","0.2","0.0","33.6"
