"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kawaan Baker","NO","WR248","0.0","0.0","0.0","1.6","20.0","0.2","0.0","3.0"
"Jakob Johnson","LV","RB165","0.0","2.0","0.0","4.5","16.0","0.2","0.0","2.9"
"Nick Vannett","HOU","TE135","0.0","0.0","0.0","2.1","19.1","0.1","0.0","2.7"
"Tyree Jackson","PHI","TE136","0.0","0.0","0.0","0.0","14.0","0.2","0.0","2.6"
"Dax Milne","WAS","WR249","0.1","0.1","0.0","3.3","22.1","0.1","0.1","2.5"
"Kendric Pryor","JAC","WR250","0.1","0.6","0.0","0.0","23.2","0.0","0.0","2.4"
"David Sills V","NYG","WR251","0.2","1.0","0.0","0.0","22.4","0.0","0.0","2.3"
"Breshad Perriman","IND","WR252","0.0","0.7","0.0","1.1","16.3","0.1","0.0","2.2"
"Ellis Merriweather","NO","RB166","0.0","10.2","0.1","0.5","3.7","0.0","0.0","2.0"
"Tyler Goodson","GB","RB167","0.0","10.2","0.1","0.5","2.6","0.0","0.0","1.9"
"Sammis Reyes","JAC","TE137","0.0","0.2","0.0","1.4","10.4","0.1","0.0","1.7"
"Jason Brownlee","NYJ","WR253","0.0","0.4","0.0","0.8","9.7","0.1","0.0","1.5"
"Hunter Kampmoyer","LAC","TE138","0.0","0.2","0.0","0.5","3.9","0.1","0.0","0.8"
"Taylor Grimes","DEN","WR254","0.0","0.3","0.0","0.3","4.8","0.0","0.0","0.6"
"Khalan Laborn","SF","RB168","0.0","0.0","0.0","0.5","3.3","0.0","0.0","0.5"
"Ben Mason","BAL","RB169","0.0","0.0","0.0","0.3","2.0","0.0","0.0","0.2"
"Britain Covey","PHI","WR255","0.0","0.3","0.0","0.0","1.6","0.0","0.0","0.2"
"Nick Bellore","SEA","LB2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
