"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tyquan Thornton","NE","WR87","3.0","11.6","0.7","35.6","444.4","2.8","0.0","66.5"
"Chase Edmonds","TB","RB54","79.4","350.4","1.7","21.2","167.6","0.8","0.4","66.3"
"Marvin Jones Jr.","DET","WR88","0.1","0.6","0.0","36.5","481.2","3.0","0.0","66.2"
"Greg Dortch","ARI","WR89","6.4","51.6","0.1","54.6","499.9","2.0","0.6","66.1"
"Irv Smith Jr.","CIN","TE19","0.0","0.5","0.0","43.3","414.0","4.1","0.0","65.8"
"Cordarrelle Patterson","ATL","RB55","72.3","307.8","2.3","19.2","159.3","0.8","0.4","64.8"
"Zonovan Knight","NYJ","RB56","101.5","396.5","1.8","16.1","117.8","0.6","0.4","64.5"
"Hunter Henry","NE","TE20","0.0","0.5","0.0","39.1","471.9","2.8","0.1","64.0"
"Noah Fant","SEA","TE21","0.0","0.8","0.0","44.6","461.4","2.8","0.1","62.9"
"Sam LaPorta","DET","TE22","0.0","0.8","0.0","39.4","437.2","3.3","0.4","62.7"
"Joshua Kelley","LAC","RB57","93.0","380.3","2.3","13.6","115.8","0.3","1.2","62.6"
"Hayden Hurst","CAR","TE23","0.0","0.4","0.0","45.3","437.6","3.0","0.5","60.9"
"Dawson Knox","BUF","TE24","0.0","0.7","0.0","35.4","400.7","3.5","0.2","60.7"
"Tyjae Spears","TEN","RB58","89.6","353.0","1.8","15.3","127.0","0.6","0.8","60.7"
"Clyde Edwards-Helaire","KC","RB59","76.9","326.5","2.1","12.2","109.3","0.9","0.5","60.4"
"Parris Campbell","NYG","WR90","3.2","36.8","0.1","35.7","436.7","2.2","0.2","60.4"
"Joshua Palmer","LAC","WR91","0.7","2.3","0.0","37.1","467.5","2.1","0.3","59.1"
"Ty Chandler","MIN","RB60","83.2","340.6","2.2","12.7","98.0","0.5","0.9","58.3"
"Jelani Woods","IND","TE25","0.0","0.9","0.0","34.3","415.5","2.7","0.0","58.1"
"Wan'Dale Robinson","NYG","WR92","2.5","10.1","0.1","35.4","456.4","1.9","0.5","57.4"
"Chase Brown","CIN","RB61","74.1","300.5","1.8","17.7","143.4","0.6","0.8","57.3"
"Tyler Conklin","NYJ","TE26","0.0","4.1","0.0","46.0","428.0","2.3","0.0","57.3"
"Jerome Ford","CLE","RB62","93.8","347.3","1.8","11.0","104.4","0.3","0.6","57.0"
"Cade Otton","TB","TE27","0.0","0.7","0.0","44.2","440.4","2.1","0.0","56.8"
"Zach Ertz","ARI","TE28","0.0","0.3","0.0","43.0","427.0","2.4","0.4","56.1"
"Josh Reynolds","DET","WR93","0.4","0.6","0.0","31.4","437.2","2.1","0.2","56.1"
"Kendre Miller","NO","RB63","77.4","306.7","1.8","12.9","122.7","0.6","0.8","55.5"
"Mike Gesicki","NE","TE29","0.0","0.3","0.0","35.2","403.7","2.5","0.1","55.3"
"Jalin Hyatt","NYG","WR94","1.4","9.5","0.0","31.6","429.9","2.0","0.5","55.3"
"Michael Carter","NYJ","RB64","68.5","262.0","1.2","22.1","183.3","0.7","0.5","55.0"
"Nick Westbrook-Ikhine","TEN","WR95","0.0","0.4","0.0","29.1","400.3","2.5","0.2","54.5"
"Michael Mayer","LV","TE30","0.0","1.2","0.0","36.7","389.6","2.7","0.4","54.3"
"Kendrick Bourne","NE","WR96","3.7","28.0","0.1","26.6","401.3","1.7","0.1","54.0"
"Pierre Strong Jr.","NE","RB65","82.3","326.0","1.8","10.2","90.0","0.2","0.5","52.9"
"Logan Thomas","WAS","TE31","0.0","0.7","0.0","42.8","406.5","2.0","0.1","52.4"
"Ben Skowronek","LAR","WR97","0.5","5.7","0.4","40.8","395.1","1.7","0.0","52.4"
"Trey McBride","ARI","TE32","0.0","0.5","0.0","37.5","399.4","2.2","0.4","52.1"
"Israel Abanikanda","NYJ","RB66","73.9","301.6","1.6","11.5","116.9","0.4","0.9","52.1"
"Ronald Jones II","DAL","RB67","83.5","351.6","2.2","5.0","42.4","0.2","0.7","51.9"
"Taysom Hill","NO","TE33","24.8","130.0","2.0","12.7","188.1","1.8","1.2","51.9"
"Keaontay Ingram","ARI","RB68","75.2","303.0","1.8","13.6","91.3","0.3","0.4","51.1"
"Kyren Williams","LAR","RB69","83.4","302.6","1.2","14.4","120.5","0.3","0.5","50.5"
"Terrace Marshall Jr.","CAR","WR98","0.0","0.2","0.0","22.9","412.5","1.4","0.0","49.4"
"Cedric Tillman","CLE","WR99","1.8","11.3","0.1","0.0","442.0","0.5","0.3","48.3"
"Luke Musgrave","GB","TE34","0.0","1.3","0.0","33.0","349.7","2.3","0.4","47.9"
"Richie James Jr.","KC","WR100","0.6","1.7","0.0","26.8","350.8","2.2","1.2","46.1"
"Zack Moss","IND","RB70","69.9","306.5","1.5","8.4","59.2","0.2","0.5","45.5"
"Latavius Murray","BUF","RB71","57.8","277.0","1.6","10.3","71.9","0.2","0.3","44.9"
"Laviska Shenault Jr.","CAR","WR101","18.6","88.1","0.8","19.8","265.5","0.8","0.2","44.4"
"Sterling Shepard","NYG","WR102","2.0","12.8","0.1","26.3","336.0","1.6","0.3","44.1"
"Matt Breida","NYG","RB72","59.1","264.5","1.2","12.9","103.4","0.3","0.8","44.1"
"Marvin Mims Jr.","DEN","WR103","1.1","5.3","0.0","21.3","346.5","1.5","0.2","44.0"
"Isaiah McKenzie","IND","WR104","7.9","38.3","0.3","25.9","301.6","1.3","0.0","43.6"
"Isaiah Spiller","LAC","RB73","69.3","269.2","1.2","9.5","80.5","0.3","0.3","43.2"
"Isaiah Likely","BAL","TE35","0.0","0.6","0.0","24.5","304.2","2.1","0.0","42.8"
"Josh Downs","IND","WR105","1.2","8.1","0.0","19.7","343.1","1.3","0.2","42.5"
"Jake Ferguson","DAL","TE36","0.0","0.5","0.0","28.2","292.6","2.1","0.0","42.2"
"Kayshon Boutte","NE","WR106","1.6","9.8","0.1","0.0","388.5","0.3","0.3","41.6"
"Malik Davis","DAL","RB74","63.6","263.4","1.4","5.7","59.6","0.2","0.3","41.5"
"Tutu Atwell","LAR","WR107","7.0","31.7","0.4","20.6","300.8","1.1","0.4","41.4"
"Austin Hooper","LV","TE37","0.0","0.3","0.0","29.1","308.3","1.7","0.0","41.3"
"Puka Nacua","LAR","WR108","1.5","9.5","0.1","0.0","377.9","0.3","0.2","40.7"
